trained_at_utc,station,pollutant,horizon_hours,mae,rmse,r2,baseline_mae,baseline_rmse,baseline_r2,validation_mae,validation_baseline_mae,selected_strategy,beats_baseline_mae,train_rows,test_rows,model_path
2026-06-23T13:42:17+00:00,València - Av. França,SO2,8,0.24629951979648296,0.40799827948109174,-0.2048679325625491,0.1737891737891738,0.5063696835418333,-0.8559153998678126,0.11746092096567141,0.025602409638554216,persistence,False,22132,702,models/builded/model__valencia_av_franca__so2__h08.json
2026-06-23T13:42:17+00:00,València - Av. França,SO2,24,0.23342727693376344,0.39914985818026066,-0.1476624691520685,0.16763848396501457,0.502181828545481,-0.8166204901345497,0.08002705480869293,0.02476780185758514,persistence,False,22039,686,models/builded/model__valencia_av_franca__so2__h24.json
2026-06-23T13:42:17+00:00,València - Av. França,NO2,8,10.79264122655449,14.39919330327829,0.3638187878841064,15.366959064327485,21.04252864310529,-0.35862740120920655,10.481349575972576,15.593373493975903,ridge,True,22252,684,models/builded/model__valencia_av_franca__no2__h08.json
2026-06-23T13:42:17+00:00,València - Av. França,NO2,24,10.649025201874712,14.326960929728179,0.3934590271476671,11.299850074962519,16.55779030517372,0.18986620961406409,9.871011240512166,10.857585139318886,ridge,True,22109,667,models/builded/model__valencia_av_franca__no2__h24.json
2026-06-23T13:42:17+00:00,València - Av. França,O3,8,10.390238239941182,13.585780994296368,0.3556512759995052,11.696991404011461,14.800977899732233,0.2352269517473039,10.37503661959335,13.409398403278225,ridge,True,22507,698,models/builded/model__valencia_av_franca__o3__h08.json
2026-06-23T13:42:17+00:00,València - Av. França,O3,24,11.82108394003845,14.7579467145606,0.25704357331008776,13.574614229856165,16.752910474227516,0.04260313014621597,11.085181356682359,13.333424767756563,ridge,True,22348,682,models/builded/model__valencia_av_franca__o3__h24.json
2026-06-23T13:42:17+00:00,València - Av. França,PM10,8,2.545834603294676,3.712183645686711,0.9294968773632201,3.465811202126389,5.137875103007851,0.8649431761960864,3.117260003150878,3.77594657845522,ridge,True,22283,722,models/builded/model__valencia_av_franca__pm10__h08.json
2026-06-23T13:42:17+00:00,València - Av. França,PM10,24,7.472805268448098,10.331356025992987,0.4573334432174294,8.488805419546583,12.484725328218259,0.2075417589100894,7.611885270588815,8.020502462684766,ridge,True,22030,706,models/builded/model__valencia_av_franca__pm10__h24.json
2026-06-23T13:42:17+00:00,València - Av. França,PM2.5,8,1.4889327263184244,2.1115806032228392,0.9325829798544135,2.014829726959379,2.9822451835015786,0.8655251970956334,2.0324038215861386,2.2850408113132166,ridge,True,22274,722,models/builded/model__valencia_av_franca__pm2_5__h08.json
2026-06-23T13:42:17+00:00,València - Av. França,PM2.5,24,4.278900322297111,6.074041791915402,0.4449256220361344,4.9235816299109185,7.242237269012388,0.21088349429532005,4.70564446379537,4.957290263520753,ridge,True,22005,706,models/builded/model__valencia_av_franca__pm2_5__h24.json
2026-06-23T13:42:17+00:00,València - Bulevard Sud,SO2,8,0.48164295445700356,0.7052093177161894,0.2594925452557728,0.5271084337349398,0.981761387347632,-0.43517627312117724,0.7161812366140362,0.9822161422708618,ridge,True,22017,664,models/builded/model__valencia_bulevard_sud__so2__h08.json
